Student,Semester,AverageScore
David Thomas,3,52.6
David Thomas,6,60.2
Dawn Smith,6,64.6
Destiny Potter,7,56.4
Diana Haynes,1,51.0
Diane Miller,2,63.0
Diane Miller,8,72.2
Diane Robinson,1,64.6
Dillon Beltran,1,54.0
Dillon Beltran,6,56.2
Donna Mullins,4,74.0
Donna Webb,4,65.4
Donna Webb,6,73.0
Douglas Cook,8,63.2
Dr. Connor Chavez,3,67.0
Dr. Connor Chavez,5,68.6
Dr. Connor Chavez,7,73.2
Dr. Jason Anderson,2,64.8
Dr. Jason Anderson,8,65.2
Dr. Jason Marshall,2,60.0
Dr. Jason Marshall,7,64.0
Dr. Jason Oneal,4,64.6
Dr. Jason Oneal,8,65.0
Dr. Johnny Davidson,5,75.4
Dr. Sean Rodriguez,3,57.0
Dustin Hodges,2,47.2
Edgar Goodman,7,54.0
Elizabeth Moore,3,80.4
Elizabeth Wright,5,64.8
Emily Smith,3,58.8
Eric Cuevas,2,47.4
Erin Phillips,6,63.6
Erin Phillips,7,65.0
Erin Phillips,8,68.2
Gina Acosta,3,58.4
Gina Peters,3,58.8
Gina Peters,5,75.8
Glen Love,1,47.0
Glen Love,6,54.2
Glen Love,8,57.4
Gregory Wolf,4,59.6
Gregory Wolf,5,64.4
Haley Wright,1,62.6
Heather Stewart,6,56.2
Jacob Griffin,8,54.4
Jacob Schneider,3,53.0
Jacob Schneider,5,57.2
Jacob Schneider,8,60.6
James Campbell,3,62.2
James Campbell,4,63.6
James Campbell,8,68.0
James Mckay,2,64.8
Jamie Brown,2,57.0
Jamie Brown,3,75.0
Janet Henry,2,59.8
Janet Henry,3,66.4
Jason Hill,1,52.0
Jason Hill,3,54.4
Jason Hill,4,57.4
Jason Hill,6,70.0
Jay Brown,2,63.4
Jay Brown,5,71.2
Jean Davidson,7,56.0
Jeff Ware,2,53.4
Jeffrey Boone,1,57.4
Jeffrey Boone,3,86.2
Jeffrey Lam,5,71.4
Jeffrey Woods,1,70.8
Jennifer Brown,6,57.0
Jennifer Dennis,1,53.0
Jennifer Dennis,5,53.8
Jennifer Dennis,6,56.8
Jennifer Dennis,7,60.2
Jennifer Knight,8,85.4
Jennifer Moore,3,62.4
Jennifer Moore,8,65.2
Jennifer Raymond,1,46.6
Jennifer Thomas,4,58.4
Jennifer Thomas,6,74.2
Jerry Palmer,3,49.6
Jerry Palmer,4,72.4
Jessica Juarez,2,54.4
Jessica Juarez,4,64.8
John Barton,7,53.0
John Barton,8,67.6
Johnathan Smith,3,73.6
Jonathan Sanford,1,59.8
Julia Nelson,6,68.8
Julia Nelson,7,72.6
Julie Davis,6,44.6
Julie Mcdonald,1,52.2
Justin Chung,5,65.6
Justin Chung,8,77.0
Kaitlyn Acevedo,5,57.6
Kaitlyn Acevedo,6,70.4
Kara Key,1,69.4
Kara Key,4,72.6
Karen Gill,2,57.0
Karen Gill,5,59.2
Karen Gill,6,78.6
Karen Rogers,4,63.8
Katherine Hunter,4,61.8
Kathleen Moody,4,60.6
Kathleen Moody,8,64.6
Kayla Romero PhD,2,55.0
Kayla Romero PhD,5,60.0
Kayla Romero PhD,7,65.8
Keith Lopez,1,65.0
Kelly Jennings,3,51.2
Kelly Jennings,6,57.0
Kelly Noble,4,51.6
Kenneth Lee,1,44.8
Kenneth Ward,6,75.6
Kimberly Paul,4,50.2
Kimberly Paul,8,56.6
Kimberly Woodard,2,59.6
Kimberly Woodard,8,62.4
Lance Weaver,3,66.6
Larry Roach,3,47.4
Larry Roach,5,74.2
Lauren Gross,1,48.6
Lauren Gross,7,62.4
Leah Wong,4,51.6
Leah Wong,7,58.2
Lee Bailey,5,61.6
Lee Bailey,7,66.4
Leslie Leonard,2,64.8
Leslie Leonard,4,72.6
Leslie Leonard,8,77.8
Linda Harmon,5,55.4
Linda Harmon,6,61.2
Linda Harmon,7,68.6
Linda Huber MD,8,63.6
Linda Salinas,5,63.6
Lindsey Barnes,1,58.0
Lisa Castillo,2,46.4
Lisa Castillo,6,55.8
Marcus Stewart,7,55.0
Mark Hawkins,6,72.2
Mary Campbell,2,50.8
Mary Campbell,6,73.8
Mary Cardenas,8,39.0
Mary Hebert,3,54.8
Mary Young,2,63.6
Matthew Burgess,6,63.6
Matthew Molina,1,61.0
Matthew Molina,6,62.4
Matthew Romero,3,49.2
Matthew Romero,6,74.0
Matthew Sanchez,1,65.6
Matthew Sanchez,4,70.2
Megan Rodriguez,7,65.8
Melanie Jones,4,52.2
Melanie Nguyen,1,41.0
Melissa Leon,2,67.6
Melissa Leon,3,69.0
Melissa Leon,8,74.8
Melissa Snyder,2,61.0
Melissa Snyder,5,78.8
Melissa Snyder,8,86.8
Michael Nelson,3,55.4
Michael Nelson,7,61.6
Michael Sanchez,3,55.2
Michael Sanchez,7,65.8
Michael Sanchez,8,72.2
Michelle Mccormick,7,62.8
Mikayla Sanders,2,70.6
Miss Amanda Brown,1,72.6
Mitchell Santiago,5,68.8
Molly Campbell,6,68.0
Mr. Brandon Mitchell,7,60.8
Mr. John Gomez DDS,8,64.6
Mr. Michael Rodriguez PhD,2,68.2
Mr. Tyler Wagner MD,5,44.4
Mr. Tyler Wagner MD,8,52.0
Mrs. Michele Anderson,2,76.2
Ms. Candice Leon,8,58.2
Nicholas Byrd,5,37.8
Nicholas Byrd,8,66.8
Patricia Davis,4,67.8
Patrick Garrison,4,48.4
Patrick Garrison,6,57.0
Patrick Wade,1,76.0
Philip Hughes,1,58.0
Philip Hughes,4,74.6
Philip Hughes,5,82.6
Philip Rocha,1,57.0
Philip Rocha,4,64.6
Philip Rocha,7,75.2
Rachel Vasquez,1,59.8
Rachel Vasquez,3,62.0
Raymond Keller,2,54.4
Raymond Keller,3,62.8
Raymond Keller,4,73.6
Raymond Keller,5,82.6
Rebecca Lawson,3,51.2
Renee Suarez,2,69.8
Rhonda Cherry,1,52.4
Rhonda Cherry,3,57.0
Rhonda Cherry,5,57.4
Rhonda Cherry,7,73.4
Rhonda Harris,6,53.8
Richard Mcpherson,3,61.8
Robert Clark DDS,3,51.8
Robert Hebert,4,80.0
Robert Hebert,7,81.0
Robert Reid,8,63.2
Rodney Frazier,3,51.8
Rodney Frazier,4,54.4
Rodney Frazier,7,80.8
Roger Rosario,3,59.6
Ryan Walton,1,62.2
Ryan Walton,6,70.4
Samantha Dixon,4,64.6
Samantha Dixon,6,76.4
Sandra Jones,1,75.0
Sarah Kelly,3,51.4
Sarah Knight,1,57.8
Sarah Oliver,8,42.8
Scott Bryant DVM,6,72.8
Sean Drake,5,59.4
Sean Padilla,1,57.6
Sean Padilla,6,73.6
Shannon Jacobs,6,46.2
Sharon Chase,3,52.8
Sharon Chase,7,74.6
Sheena Alvarado,3,56.2
Sheena Alvarado,7,65.4
Shelby Smith,2,77.0
Shelby Williams,8,46.0
Sherri Galvan,6,62.8
Sherry Smith,2,63.2
Sherry Smith,7,65.2
Shirley Nicholson,3,82.0
Stacey Moore,2,61.8
Stephanie Brown,3,71.8
Stephanie Howell,3,74.0
Stephanie Johnson,7,76.4
Stephanie Shepherd,4,53.6
Stephen Bush,2,43.0
Stephen Bush,3,54.6
Steven Johnson,2,82.4
Susan Gray,8,45.4
Suzanne Brown,2,50.8
Tamara Mann,6,48.8
Tamara Young DVM,4,50.2
Tamara Young DVM,5,56.0
Tammie Morris,1,61.0
Tara Ross,1,73.2
Tara Ross,3,90.4
Thomas Knapp,2,60.4
Thomas Lawson,6,61.6
Thomas Lawson,8,70.0
Thomas Miller,5,55.6
Tina Brown,4,73.0
Tina Brown,6,80.8
Tonya Harris,5,40.2
Tonya Harris,6,49.4
Tracey Walker,3,53.0
Tracy Hayes,2,45.4
Tracy Hayes,6,66.4
Tracy Lane,2,48.2
Tyler Anthony,2,53.2
Tyler Anthony,4,68.2
Tyler Hill,2,60.6
Tyler Hill,5,75.4
Tyler Hill,6,79.8
Vanessa Fuentes,2,48.8
Vanessa Miller,7,49.8
Vanessa Miller,8,70.4
Victoria Rios,3,54.6
Virginia Garrison,8,76.4
Walter Koch,8,59.6
Wendy Nunez,4,50.8
Wendy Nunez,5,51.6
William Martin,5,45.6
William Martin,8,72.0
William Williams,1,52.8
William Williams,8,56.0
Yolanda Hess,5,74.8
